Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
9001,23000,0,UnitSlotB_1,Unit_UnitSlotB_1,0,1,40000,1110003:2220003:3330003:4440003
9002,23000,0,UnitSlotD_1,Unit_UnitSlotD_1,0,1,40000,1110005:2220005:3330005:4440005
9003,54000,0,UnitSlotA_1,Unit_UnitSlotA_1,0,1,45000,1110002:2220002:3330002:4440002
9004,54000,0,UnitSlotC_1,Unit_UnitSlotC_1,0,1,45000,1110004:2220004:3330004:4440004
9005,54000,0,UnitSlotE_1,Unit_UnitSlotE_1,0,1,45000,1110006:2220006:3330006:4440006
9006,75500,0,UnitSlotA_2,Unit_UnitSlotA_2,0,1,45000,1110008:2220008:3330008:4440008
9007,75500,0,UnitSlotC_2,Unit_UnitSlotC_2,0,1,45000,1110010:2220010:3330010:4440010
9008,75500,0,UnitSlotE_2,Unit_UnitSlotE_2,0,1,45000,1110012:2220012:3330012:4440012
9009,95500,0,UnitSlotA_3,Unit_UnitSlotA_3,0,1,45000,1110014:2220014:3330014:4440014
9010,95500,0,UnitSlotC_3,Unit_UnitSlotC_3,0,1,45000,1110016:2220016:3330016:4440016
9011,212500,0,UnitSlotE_3,Unit_UnitSlotE_3,0,1,50000,1110018:2220018:3330018:4440018
9012,212500,0,UnitSlotB_3,Unit_UnitSlotB_3,0,1,50000,1110015:2220015:3330015:4440015
9013,212500,0,UnitSlotD_3,Unit_UnitSlotD_3,0,1,50000,1110017:2220017:3330017:4440017
9014,185000,0,UnitSlotB_4,Unit_UnitSlotB_4,0,1,50000,1110021:2220021:3330021:4440021
9015,185000,0,UnitSlotE_4,Unit_UnitSlotE_4,0,1,50000,1110024:2220024:3330024:4440024
9016,252000,0,UnitSlotA_4,Unit_UnitSlotA_4,0,1,60000,1110020:2220020:3330020:4440020
9017,252000,0,UnitSlotC_4,Unit_UnitSlotC_4,0,1,60000,1110022:2220022:3330022:4440022
9018,252000,0,UnitSlotF_4,Unit_UnitSlotF_4,0,1,60000,1110025:2220025:3330025:4440025
9019,300000,0,UnitSlotA_5,Unit_UnitSlotA_5,0,1,65000,1110031:2220031:3330031:4440031
9020,300000,0,UnitSlotB_5,Unit_UnitSlotB_5,0,1,65000,1110032:2220032:3330032:4440032
9021,300000,0,UnitSlotC_5,Unit_UnitSlotC_5,0,1,65000,1110033:2220033:3330033:4440033
9022,300000,0,UnitSlotA_6,Unit_UnitSlotA_6,0,1,65000,1110034:2220034:3330034:4440034
9023,300000,0,UnitSlotB_6,Unit_UnitSlotB_6,0,1,65000,1110035:2220035:3330035:4440035
9024,300000,0,UnitSlotC_6,Unit_UnitSlotC_6,0,1,65000,1110036:2220036:3330036:4440036
9025,300000,0,UnitSlotGA_1,Unit_UnitSlotGA_1,0,1,65000,1110037:2220037:3330037:4440037
9026,300000,0,UnitSlotGB_1,Unit_UnitSlotGB_1,0,1,65000,1110038:2220038:3330038:4440038
9027,300000,0,UnitSlotGC_1,Unit_UnitSlotGC_1,0,1,65000,1110039:2220039:3330039:4440039
9028,329000,0,UnitSlotA_7,Unit_UnitSlotA_7,0,1,65000,1110040:2220040:3330040:4440040
9029,329000,0,UnitSlotB_7,Unit_UnitSlotB_7,0,1,65000,1110041:2220041:3330041:4440041
9030,329000,0,UnitSlotC_7,Unit_UnitSlotC_7,0,1,65000,1110042:2220042:3330042:4440042
