Id,CreditPrice,CoinPrice,ItemNameCode,ItemDescCode,ProductType,ContractType,ContractValue,TemplateString
6001,12000,0,,,1,2,30,70
6002,12000,0,,,1,2,30,71
6003,19500,0,,,1,2,30,72
6004,19500,0,,,1,2,30,73
6005,19500,0,,,1,2,30,110
6006,19500,0,,,1,2,30,113
6007,19500,0,,,1,2,30,111
6008,19500,0,,,1,2,30,112
6009,12000,0,,,1,2,30,1
6010,12000,0,,,1,2,30,3
6011,12000,0,,,1,2,30,7
6012,12000,0,,,1,2,30,9
6013,12000,0,,,1,2,30,11
6014,12000,0,,,1,2,30,12
6015,12000,0,,,1,2,30,14
6016,12000,0,,,1,2,30,16
6017,12000,0,,,1,2,30,17
6018,12000,0,,,1,2,30,19
6019,12000,0,,,1,2,30,21
6020,12000,0,,,1,2,30,22
6021,12000,0,,,1,2,30,23
6022,12000,0,,,1,2,30,24
6023,12000,0,,,1,2,30,25
6024,12000,0,,,1,2,30,26
6025,12000,0,,,1,2,30,27
6026,12000,0,,,1,2,30,28
6027,12000,0,,,1,2,30,29
6028,12000,0,,,1,2,30,32
6029,12000,0,,,1,2,30,33
6030,12000,0,,,1,2,30,35
6031,12000,0,,,1,2,30,37
6032,12000,0,,,1,2,30,38
6033,19500,0,,,1,2,30,2
6034,19500,0,,,1,2,30,4
6035,19500,0,,,1,2,30,8
6036,19500,0,,,1,2,30,10
6037,19500,0,,,1,2,30,42
6038,19500,0,,,1,2,30,13
6039,19500,0,,,1,2,30,15
6040,19500,0,,,1,2,30,43
6041,19500,0,,,1,2,30,18
6042,19500,0,,,1,2,30,20
6043,19500,0,,,1,2,30,41
6044,19500,0,,,1,2,30,44
6045,19500,0,,,1,2,30,45
6046,19500,0,,,1,2,30,46
6047,19500,0,,,1,2,30,40
6048,19500,0,,,1,2,30,47
6049,19500,0,,,1,2,30,31
6050,19500,0,,,1,2,30,55
6051,19500,0,,,1,2,30,48
6052,19500,0,,,1,2,30,49
6053,19500,0,,,1,2,30,50
6054,19500,0,,,1,2,30,34
6055,19500,0,,,1,2,30,36
6056,19500,0,,,1,2,30,39
6057,19500,0,,,1,2,30,51
6058,30000,0,,,1,2,30,90
6059,30000,0,,,1,2,30,91
6060,30000,0,,,1,2,30,92
6061,30000,0,,,1,2,30,93
6062,30000,0,,,1,2,30,94
6063,30000,0,,,1,2,30,95
6064,30000,0,,,1,2,30,97
6065,30000,0,,,1,2,30,98
6066,30000,0,,,1,2,30,102
6067,30000,0,,,1,2,30,104
6068,30000,0,,,1,2,30,106
6069,30000,0,,,1,2,30,107
6070,30000,0,,,1,2,30,109
6071,30000,0,,,1,2,30,99
6072,30000,0,,,1,2,30,108
